,type,longitude,latitude
8751,restaurant,4.87924,52.3585627
8752,bar,4.8790039,52.3584447
8753,other,4.8979064,52.3740241
8754,other,4.8974056,52.3741786
8755,bar,4.894152,52.372515
8756,other,4.885728,52.365121
8757,other,4.8858112,52.3652633
8758,restaurant,4.886092,52.365106
8759,restaurant,4.885756,52.365306
8760,restaurant,4.88551,52.36527
8761,other,4.899353,52.364258
8762,other,4.897892,52.3639783
8763,other,4.8927822,52.3640395
8764,kindergarten,4.8977549,52.3639468
8765,waste_basket,4.9026612,52.3616208
8766,bench,4.9026486,52.3616462
8767,vending_machine,4.9024446,52.3620513
8768,bench,4.9020515,52.3628551
8769,waste_basket,4.9017883,52.3633824
8770,bench,4.9017662,52.3633899
8771,waste_basket,4.9017182,52.3634943
8772,bench,4.9017047,52.3635161
8773,vending_machine,4.8957108,52.3635582
8774,vending_machine,4.9014181,52.3637962
8775,waste_basket,4.8986572,52.3639907
8776,recycling,4.8986009,52.3640223
8777,other,4.8924046,52.3635027
8778,other,4.8923371,52.3633131
8779,fast_food,4.8923808,52.3634227
8780,other,4.8923966,52.3634639
8781,toilets,4.9016876,52.3779574
8782,bicycle_parking,4.9189972,52.346871
8783,parking,4.918376,52.3772823
8784,recycling,4.9186022,52.3494406
8785,other,4.8813973,52.3696906
8786,other,4.8789073,52.3692132
8787,restaurant,4.881275,52.3696548
8788,other,4.879619,52.3691175
8789,fast_food,4.8786491,52.3727412
8790,other,4.8792303,52.3689758
8791,cafe,4.880568,52.3694181
8792,fast_food,4.8784397,52.3729889
8793,other,4.9027352,52.3590276
8794,waste_basket,4.8994659,52.3582734
8795,bench,4.8994975,52.3582802
8796,bench,4.8995668,52.358293
8797,bench,4.8996248,52.3583047
8798,vending_machine,4.9031385,52.3590827
8799,vending_machine,4.9020023,52.3598266
8800,drinking_water,4.8998216,52.3599379
8801,charging_station,4.9027336,52.3600079
8802,bench,4.8995868,52.3600303
8803,waste_basket,4.8995817,52.3600733
8804,bench,4.8995939,52.3601075
8805,bench,4.900079,52.3601156
8806,waste_basket,4.9000627,52.3601293
8807,bench,4.8996102,52.3601318
8808,bench,4.9000443,52.3601461
8809,waste_basket,4.8996367,52.3601567
8810,bench,4.8999923,52.3601747
8811,bench,4.8996785,52.3601785
8812,bench,4.8999322,52.3601971
8813,waste_basket,4.8998955,52.3602065
8814,bench,4.8998548,52.3602096
8815,bench,4.8999948,52.3580862
8816,waste_basket,4.9000254,52.3580912
8817,bicycle_parking,4.9002853,52.3581435
8818,bench,4.9005309,52.3581896
8819,waste_basket,4.9005614,52.3581945
8820,bicycle_parking,4.9007989,52.3582418
8821,bench,4.9010231,52.3582891
8822,waste_basket,4.9010536,52.3582941
8823,bicycle_parking,4.9011922,52.3583215
8824,waste_disposal,4.9018508,52.358755
8825,other,4.899237,52.3590517
8826,other,4.9242271,52.3508329
8827,other,4.8979254,52.3644789
8828,other,4.8987363,52.3601503
8829,waste_basket,4.898593,52.3602806
8830,bench,4.8985366,52.3602899
8831,bench,4.8965649,52.3602963
8832,bench,4.8984818,52.3603114
8833,bench,4.8984452,52.3603467
8834,vending_machine,4.8963083,52.3603583
8835,bench,4.896627,52.3603531
8836,bench,4.8966567,52.3603588
8837,waste_basket,4.8966777,52.3603634
8838,waste_basket,4.8984269,52.3603747
8839,bench,4.8984269,52.3604072
8840,bench,4.8984299,52.3604417
8841,waste_basket,4.898468,52.3604724
8842,bench,4.8985077,52.3604994
8843,waste_basket,4.8990244,52.3606148
8844,vending_machine,4.8981006,52.3606727
8845,post_box,4.8992955,52.3608823
8846,charging_station,4.9360647,52.31056
8847,other,4.899224,52.3617163
8848,other,4.8945086,52.3620918
8849,other,4.8992347,52.3616751
8850,other,4.8989722,52.3618108
8851,other,4.8989433,52.3618831
8852,other,4.8989585,52.3618432
8853,vending_machine,4.9003013,52.3624909
8854,bench,4.9018489,52.3627679
8855,bicycle_parking,4.9238228,52.3541814
8856,bicycle_parking,4.9222288,52.3542175
8857,bicycle_parking,4.922445,52.3542321
8858,bicycle_parking,4.9221895,52.3542681
8859,bicycle_parking,4.9242534,52.3544172
8860,bicycle_parking,4.9254466,52.3549711
8861,fast_food,4.9562667,52.3232446
8862,bench,4.8381688,52.327577
8863,bench,4.8330692,52.3268273
8864,bench,4.829697,52.3291735
8865,bench,4.8289958,52.3291781
8866,bench,4.8232119,52.3297995
8867,bench,4.8214298,52.3293659
8868,bench,4.8201583,52.3265535
8869,taxi,4.8508686,52.3726396
8870,other,4.8970567,52.3770542
8871,other,4.8962155,52.3763818
8872,pub,4.8957551,52.3760567
8873,other,4.8964473,52.3765654
8874,other,4.8962614,52.3764178
8875,fast_food,4.8964232,52.3775053
8876,other,4.8961189,52.3763106
8877,other,4.8956239,52.376156
8878,other,4.8967939,52.3771979
8879,other,4.8965538,52.3771621
8880,other,4.8956284,52.3760036
8881,other,4.8963458,52.3766822
8882,other,4.8965812,52.3773421
8883,restaurant,4.8963802,52.3773387
8884,fast_food,4.8958742,52.3761214
8885,other,4.8966216,52.3767345
8886,other,4.8967697,52.3770341
8887,ice_cream,4.8946088,52.3750882
8888,other,4.8963381,52.3764617
8889,other,4.895951,52.376195
8890,cafe,4.8960281,52.376257
8891,other,4.8930618,52.3740791
8892,other,4.8965324,52.3773753
8893,other,4.8966894,52.3768297
8894,other,4.8964948,52.3774505
8895,other,4.8965166,52.3766313
8896,other,4.896164,52.3763432
8897,other,4.896412,52.3765181
8898,other,4.8967592,52.3769759
8899,other,4.8940368,52.3749285
8900,other,4.8966661,52.3767971
8901,other,4.8966422,52.3773018
8902,other,4.8967353,52.3769244
8903,other,4.8953597,52.375979
8904,other,4.8963726,52.37755
8905,other,4.8929316,52.3739724
8906,other,4.8932796,52.3743083
8907,other,4.8967162,52.3768849
8908,other,4.8965508,52.3766633
8909,other,4.8954551,52.3760454
8910,other,4.8957908,52.3760988
8911,other,4.8961003,52.3764584
8912,other,4.8963815,52.3764853
8913,other,4.8964921,52.3765931
8914,other,4.8924253,52.3673187
8915,other,4.8913315,52.3676886
8916,other,4.8917784,52.3674715
8917,other,4.8921177,52.3675499
8918,other,4.8912538,52.3676202
8919,other,4.8919906,52.3674924
8920,other,4.8914152,52.367507
8921,other,4.8917993,52.367325
8922,other,4.8914922,52.367195
8923,other,4.8916349,52.3672296
8924,other,4.8916969,52.3672817
8925,other,4.8872116,52.3662324
8926,other,4.8855412,52.3654539
8927,other,4.8851084,52.3652355
8928,bureau_de_change,4.883475,52.3644421
8929,other,4.8856365,52.3656665
8930,other,4.887463,52.3663478
8931,other,4.8906811,52.3675766
